icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
e491a1,1669342015,,1669344949,,TAM3378 ,,,,,0,0
155c05,1669346502,,1669348769,LTBA,AZO769  ,,,8982,1184,0,2
801495,1669343329,,1669346380,VOBL,VTI851  ,,,3806,45,0,2
800af4,1669344635,VILK,1669347714,VIDP,IGO2026 ,2698,225,1433,31,0,2
868089,1669344168,RJTT,1669347143,,SKY613  ,4605,225,,,0,0
7c33f1,1669344194,,1669345698,YMMB,KJN     ,,,3264,114,0,1
7c7c32,1669344504,YPPF,1669346435,YPPF,YTG     ,798,28,535,5,2,4
a5218e,1669344368,KN12,1669345042,K3N6,N43JA   ,463,17,2210,87,2,8
a6b173,1669342600,,1669344565,PANC,N530LM  ,,,850,113,0,16
ad2384,1669343018,KATL,1669348316,KXNA,DAL1720 ,1553,53,6728,232,0,17
c067e7,1669344330,CYUL,1669347617,,JZA7986 ,1054,13,,,0,0
c05ead,1669344254,CYYJ,1669348507,CYYC,WEN3414 ,2766,255,3620,13,0,5
346489,1669346169,,1669348292,LEBL,BCS8024 ,,,938,34,0,1
71c070,1669343477,RKUC,1669344943,,TWB9873 ,14972,1826,,,0,0
750068,1669347125,,1669348334,WBKS,MWG3062 ,,,754,1,0,0
750068,1669342964,WBKS,1669344126,,MWG3061 ,372,16,,,0,0
750222,1669344420,WBKK,1669346482,,MAS2807 ,166,42,,,0,0
780780,1669343411,,1669346247,ZGSZ,CCA9831 ,,,6872,277,0,0
801427,1669347094,,1669348675,,IGO5281 ,,,,,0,0
800da5,1669345296,,1669347538,,SEJ201  ,,,,,0,0
8965ee,1669344452,,1669348577,OMAA,ADY514  ,,,12829,514,0,2
7c580a,1669344273,YRED,1669347233,YCHB,N       ,179,7,18516,1248,0,0
7c673f,1669345533,,1669347199,YADG,UOH     ,,,13584,1002,0,0
a55a0c,1669342910,,1669346637,KBFI,LXJ444  ,,,1537,52,0,7
a8cf70,1669342224,KMCO,1669344349,KFLL,NKS675  ,1656,145,1680,20,1,4
c821ba,1669342102,NZCH,1669347059,NZHN,ANZ626M ,880,137,9752,1654,1,1
e48eb9,1669342450,,1669348253,SBKP,AZU9901 ,,,5656,199,0,4
0d0df1,1669346761,MMMX,1669348575,,VIV1228 ,240,111,,,0,0
49d1cd,1669342864,,1669344038,OMDB,FDB62H  ,,,1903,41,0,2
4bb84c,1669345852,,1669347863,,PGT9H   ,,,,,0,0
4cafcb,1669342369,,1669345555,LIRF,MSA9792 ,,,3618,64,0,3
7c0634,1669342683,YBAF,1669344377,YBCG,BIE     ,464,19,4430,191,0,2
7c4517,1669343869,YBBN,1669345378,,QJE1712 ,2761,49,,,0,0
7c60c0,1669343026,YSCN,1669345193,YSCN,TEA     ,2068,105,3283,204,1,5
abfd39,1669342133,KBNA,1669346294,KBWI,SWA2460 ,1966,38,2036,44,0,7
ace74e,1669342939,KDEN,1669345648,,SKW5149 ,3965,1,,,2,0
acdfab,1669344667,KATL,1669347260,,DAL2749 ,1615,7,,,0,0
c803d1,1669343083,NZWL,1669344383,NZWL,ZKEBS   ,165,163,337,156,2,3
c8221a,1669342494,NZAA,1669347261,,ANZ623  ,1490,137,,,0,0
0d0cec,1669342818,,1669345004,,VIV4131 ,,,,,0,0
451e2b,1669343327,EDDK,1669348184,LHBP,BCS5302 ,492,7,2202,59,1,7
4bb845,1669346419,,1669348459,LTFJ,PGT2099 ,,,3144,133,0,2
70604f,1669343850,,1669344566,OKBK,KAC544  ,,,3015,43,0,1
71ce09,1669342066,RKRN,1669343489,RKSS,HL9609  ,14285,623,3349,332,0,5
750238,1669346113,,1669348002,WMKP,MAS1140 ,,,14757,682,0,0
750436,1669343673,,1669345102,WMKP,AXM5433 ,,,13139,659,0,0
7580a0,1669345205,,1669347449,RPLL,GAP2142 ,,,2574,15,0,1
760996,1669344815,,1669345618,,PIA300  ,,,,,0,0
